lat,lon,temperature_2m,relative_humidity_2m,weathercode,wind_speed_10m,rocket,success,payloads,year,month,day,hour
28.5618571,-80.577366,20.2,60,0,7.5,1,1.0,28,2022,1,13,15
28.6080585,-80.6039558,10.5,86,0,8.8,1,1.0,28,2022,1,19,0
28.5618571,-80.577366,14.1,59,1,7.3,1,1.0,28,2022,1,31,23
34.632093,-120.610829,14.1,27,0,18.8,1,1.0,28,2022,2,2,20
28.6080585,-80.6039558,24.7,58,2,25.8,1,1.0,28,2022,2,3,18
28.5618571,-80.577366,22.4,59,0,11.6,1,1.0,28,2022,2,21,14
34.632093,-120.610829,9.5,40,0,11.5,1,1.0,28,2022,2,25,17
28.6080585,-80.6039558,21.6,68,0,8.7,1,1.0,28,2022,3,3,14
28.5618571,-80.577366,23.5,84,1,20.1,1,1.0,28,2022,3,9,13
28.5618571,-80.577366,22.2,86,3,12.4,1,1.0,28,2022,3,19,3
28.5618571,-80.577366,25.2,76,3,6.9,1,1.0,28,2022,4,1,16
28.6080585,-80.6039558,19.6,45,1,16.2,1,1.0,28,2022,4,8,15
34.632093,-120.610829,8.6,97,3,14.7,1,1.0,28,2022,4,17,13
28.5618571,-80.577366,24.6,45,3,22.8,1,1.0,28,2022,4,21,15
28.6080585,-80.6039558,20.3,92,3,8.3,1,1.0,28,2022,4,27,7
28.5618571,-80.577366,25.0,53,1,23.4,1,1.0,28,2022,4,29,21
28.6080585,-80.6039558,23.4,81,0,11.8,1,1.0,28,2022,5,6,9
34.632093,-120.610829,17.2,53,0,21.6,1,1.0,28,2022,5,13,22
28.5618571,-80.577366,27.1,64,51,14.1,1,1.0,28,2022,5,14,20
28.6080585,-80.6039558,21.1,96,0,6.0,1,1.0,28,2022,5,18,10
28.5618571,-80.577366,29.8,55,3,24.0,1,1.0,28,2022,5,25,18
28.5618571,-80.577366,27.9,76,63,8.8,1,1.0,28,2022,6,8,21
28.6080585,-80.6039558,26.6,70,51,14.3,1,1.0,28,2022,6,1,17
34.632093,-120.610829,11.5,93,1,18.0,1,1.0,28,2022,6,18,14
28.5618571,-80.577366,26.2,76,3,9.0,1,1.0,28,2022,6,19,4
28.5618571,-80.577366,28.1,73,51,16.8,1,1.0,28,2022,6,29,21
28.5618571,-80.577366,28.6,78,3,6.9,1,1.0,28,2022,7,7,13
34.632093,-120.610829,14.4,88,2,18.3,1,0.0,28,2022,7,11,1
28.6080585,-80.6039558,29.6,70,3,10.2,1,1.0,28,2022,7,15,0
28.5618571,-80.577366,24.8,85,61,9.4,1,1.0,28,2022,7,17,14
34.632093,-120.610829,14.8,81,3,16.7,1,1.0,28,2022,7,21,17
28.5618571,-80.577366,28.5,75,1,6.7,1,1.0,28,2022,7,24,0
28.5618571,-80.577366,29.9,62,0,16.3,1,1.0,28,2022,8,4,23
28.6080585,-80.6039558,29.4,73,3,13.2,1,1.0,28,2022,8,9,22
34.632093,-120.610829,18.6,71,0,21.5,1,1.0,28,2022,8,12,21
28.5618571,-80.577366,29.2,77,61,5.4,1,1.0,28,2022,8,19,19
28.6080585,-80.6039558,24.5,96,63,6.4,1,1.0,28,2022,8,28,2
34.632093,-120.610829,12.8,95,0,15.7,1,1.0,28,2022,8,31,5
28.5618571,-80.577366,27.2,80,3,7.3,1,1.0,56,2022,9,5,2
28.6080585,-80.6039558,25.3,92,3,3.4,1,1.0,56,2022,9,11,1
28.5618571,-80.577366,23.5,92,65,3.7,1,1.0,28,2022,9,17,1
28.5618571,-80.577366,26.5,69,3,14.6,1,1.0,28,2022,9,24,23
28.6080585,-80.6039558,25.1,58,3,10.6,1,1.0,28,2022,10,5,16
28.6080585,-80.6039558,23.6,97,1,7.9,2,0.0,28,2022,11,1,13
28.5618571,-80.577366,20.0,63,3,10.4,1,0.0,28,2022,10,20,14
28.5618571,-80.577366,23.3,71,0,6.9,1,0.0,2,2022,10,8,23
28.5618571,-80.577366,24.3,83,0,7.4,1,0.0,2,2022,10,15,5
28.5618571,-80.577366,24.3,87,1,5.4,1,0.0,2,2022,11,3,3
28.5618571,-80.577366,25.1,64,1,20.1,1,0.0,2,2022,11,8,0
28.5618571,-80.577366,22.2,87,0,12.1,1,0.0,2,2022,11,15,0
28.5618571,-80.577366,22.3,82,3,12.2,1,0.0,2,2022,11,22,0
28.6080585,-80.6039558,16.8,69,0,15.2,1,0.0,2,2022,11,18,22
28.5618571,-80.577366,24.2,89,0,10.2,1,0.0,2,2022,11,1,0
28.5618571,-80.577366,24.2,89,0,10.2,1,0.0,28,2022,11,1,0
34.632093,-120.610829,13.3,83,2,10.5,1,0.0,2,2022,12,5,0
28.5618571,-80.577366,24.2,89,0,10.2,1,0.0,2,2022,11,1,0
28.5618571,-80.577366,21.5,88,2,9.9,1,0.0,2,2022,12,1,0
34.632093,-120.610829,21.5,88,2,9.9,1,0.0,28,2022,12,1,0
28.5618571,-80.577366,21.5,88,2,9.9,1,0.0,28,2022,12,1,0
28.6080585,-80.6039558,21.5,88,2,9.9,2,0.0,2,2022,12,1,0
28.5618571,-80.577366,21.5,88,2,9.9,1,0.0,28,2022,12,1,0
